Question,Option A,Option B,Option C,Option D,Correct Answer,Detailed Answer in English,Detailed Answer in Hindi
"When train is pushing and signal is ON with no visibility, how should LP proceed? / अगर ट्रेन पीछे से धकेली जा रही हो और सिग्नल 'ON' हो व दृश्यता न हो, तो लोको पायलट को कैसे चलाना चाहिए?",At max 25 km/h,As per Assistant LP,At very slow speed not exceeding 10 km/h,At normal speed,At very slow speed not exceeding 10 km/h,"GR 9.02(3) – in poor visibility or when pushing, train must proceed not exceeding 10 km/h.","GR 9.02(3) के अनुसार, दृश्यता कम होने या ट्रेन को धकेले जाने की स्थिति में गति 10 किमी/घंटा से अधिक नहीं होनी चाहिए।"
When can a train pass a defective Automatic Stop signal without any written authority? / कब ट्रेन एक दोषपूर्ण स्वचालित स्टॉप सिग्नल को बिना किसी लिखित प्राधिकरण के पार कर सकती है?,Never / कभी नहीं,If signal is flickering,After observing prescribed waiting time,All of the above / उपरोक्त सभी,All of the above / उपरोक्त सभी,"As per GR 9.02 and SR 9.02.02, if the signal is flickering or remains at 'ON', the Loco Pilot may pass it after observing the waiting time, without needing a written authority.","GR 9.02 और SR 9.02.02 के अनुसार, यदि सिग्नल झिलमिलाता है या 'ON' स्थिति में रहता है, तो निर्धारित प्रतीक्षा अवधि के बाद बिना किसी लिखित प्राधिकरण के ट्रेन आगे बढ़ सकती है।"
"Match the following signal types with their function: / निम्नलिखित सिग्नल प्रकारों का उनके कार्यों से मिलान करें:
 Column A                                    Column B
A. Automatic Stop Signal    1. Control block section entry
B. Semi-Automatic Signal   2. Manual control with authority
C. Manual Stop Signal         3. Controlled from panel","A-2, B-1, C-3","A-1, B-3, C-2","A-1, B-2, C-3","A-3, B-1, C-2","A-1, B-3, C-2",Automatic Stop Signal controls entry into block section; Semi-Automatic is panel controlled; Manual Stop Signal works with written authority.,स्वचालित स्टॉप सिग्नल ब्लॉक खंड में प्रवेश को नियंत्रित करता है; सेमी-ऑटोमैटिक पैनल से नियंत्रित होता है; मैनुअल स्टॉप सिग्नल लिखित प्राधिकरण के साथ कार्य करता है।
"What should a Guard do if train passes a signal at ‘ON’ and then stops in the block section? / यदि ट्रेन 'ON' पर सिग्नल पार करने के बाद ब्लॉक सेक्शन में रुक जाए, तो गार्ड को क्या करना चाहिए?",Wait silently,Go and inform Loco Pilot,Protect train in rear with hand signals and detonators,None of these / इनमें से कोई नहीं,Protect train in rear with hand signals and detonators,"As per GR 9.10(2), if train halts in block section, Guard must protect rear using hand signals and detonators.","GR 9.10(2) के अनुसार, यदि ट्रेन ब्लॉक सेक्शन में रुकती है, तो गार्ड को पीछे की ओर सुरक्षा प्रदान करनी होती है।"
What authority is needed for Relief Train to enter ABS territory from a loop line? / लूप लाइन से राहत ट्रेन को ABS क्षेत्र में प्रवेश के लिए कौन सा प्राधिकरण आवश्यक है?,T/D-602,T/B-602,T/C-912,None of these / इनमें से कोई नहीं,T/C-912,SR 9.12.08 mandates that T/C-912 authority is required for Relief Trains in ABS areas.,"SR 9.12.08 के अनुसार, राहत ट्रेनों के लिए T/C-912 प्राधिकरण अनिवार्य है।"
Which of the following is true during complete failure of signals and communication? / पूर्ण सिग्नल और संचार विफलता के दौरान निम्न में से क्या सत्य है?,All trains stop till restoration,T/A-602 form is used,Trains are worked with 15-minute interval,None of these / इनमें से कोई नहीं,Trains are worked with 15-minute interval,SR 9.12.02(d) specifies that trains shall be dispatched at 15-minute intervals during total failure.,"SR 9.12.02(d) के अनुसार, संपूर्ण विफलता की स्थिति में ट्रेनों के बीच 15 मिनट का अंतराल रखा जाता है।"
"During failure, which form is handed over to Loco Pilot to proceed without Line Clear? / सिग्नल विफलता के दौरान लोको पायलट को लाइन क्लियर के बिना चलने के लिए कौन सा फॉर्म दिया जाता है?",T/A-602,T/A-912,T-1425,All of the above / उपरोक्त सभी,T/A-912,T/A-912 is the standard authority to pass defective signals in ABS territory.,T/A-912 फॉर्म ABS क्षेत्र में दोषपूर्ण सिग्नलों को पार करने के लिए मानक प्राधिकरण है।
Which is NOT a condition for taking OFF Home signal in ABS? / ABS में होम सिग्नल OFF करने के लिए निम्न में से कौन सी शर्त आवश्यक नहीं है?,Line clear up to 120m beyond starter,Block section cleared,Guard gives green signal,Route locked,Guard gives green signal,Guard's signal is not mandatory for Home signal operation.,होम सिग्नल OFF करने के लिए गार्ड का ग्रीन सिग्नल आवश्यक नहीं होता।
Who maintains Line Clear register during failure of panel operation in ABS? / ABS में पैनल संचालन फेल होने पर लाइन क्लियर रजिस्टर कौन रखता है?,Station Master,Guard,Loco Pilot,Signal Maintainer,Station Master,SR 9.12.07 states SM keeps Line Clear Register when panel is non-functional.,"SR 9.12.07 के अनुसार, जब पैनल कार्यरत न हो, तब लाइन क्लियर रजिस्टर SM द्वारा रखा जाता है।"
"If a signal changes from ‘OFF’ to ‘ON’ as train approaches, what must Loco Pilot do? / यदि ट्रेन के पास आते ही सिग्नल 'OFF' से 'ON' हो जाए, तो लोको पायलट को क्या करना चाहिए?",Ignore and continue,Stop immediately and inform SM,Speed up,Blow horn and proceed,Stop immediately and inform SM,GR 3.13 instructs LP to stop if signal changes to danger while approaching.,"GR 3.13 के अनुसार, अगर सिग्नल खतरे में बदल जाए तो लोको पायलट को तुरंत रुकना चाहिए और सूचना देनी चाहिए।"
What shall the Guard do when the train passes an Automatic Stop signal at ‘ON’ position? / जब ट्रेन 'ON' स्थिति वाले स्वचालित स्टॉप सिग्नल को पार करती है तो गार्ड को क्या करना चाहिए?,Do nothing,Show “Stop” signal to rear and watch carefully,Note time and sleep,Show green signal to rear,Show “Stop” signal to rear and watch carefully,GR 9.02(2) directs the Guard to exhibit Stop hand signal towards the rear and keep lookout.,"GR 9.02(2) के अनुसार, गार्ड को पीछे 'स्टॉप' हेंड सिग्नल दिखाना चाहिए और सतर्क रहना चाहिए।"
"Match the following forms with their purpose: / निम्नलिखित फॉर्म्स को उनके उपयोग से मिलाइए: 
Column A                      Column B
A. T/A-912               1. Relief Engine entry in ABS
B. T/C-912               2. Proceed past defective signal
C. T/369(3b)           3. Caution for shunting or temporary work","A-2, B-1, C-3","A-1, B-2, C-3","A-2, B-3, C-1","A-3, B-1, C-2","A-2, B-1, C-3","T/A-912 is for defective signals, T/C-912 for Relief Engines, T/369(3b) is caution for obstruction.","T/A-912 दोषपूर्ण सिग्नल के लिए, T/C-912 राहत इंजनों के लिए, और T/369(3b) सावधानी हेतु उपयोग होता है।"
"During communication failure, how does the Station Master ensure Line Clear? / संचार विफलता के दौरान स्टेशन मास्टर लाइन क्लियर को कैसे सुनिश्चित करता है?",By guessing,By seeing signal aspect,Through Private and Identification number exchange,None of these,Through Private and Identification number exchange,SR 9.12.07 prescribes use of Private and ID number to exchange Line Clear during panel/comm failure.,"SR 9.12.07 के अनुसार, संचार विफलता में प्राइवेट और ID नंबर के माध्यम से लाइन क्लियर सुनिश्चित किया जाता है।"
Which of the following signals require the Loco Pilot to stop even if it appears OFF? / निम्न में से कौन सा सिग्नल OFF होने पर भी लोको पायलट को रुकने की आवश्यकता हो सकती है?,Home Signal,Calling-on Signal,Automatic Signal,None of these,Calling-on Signal,"Calling-on signals require careful observation and may indicate route for shunting, hence may require stop.","कॉलिंग-ऑन सिग्नल सावधानी से देखना होता है क्योंकि यह शंटिंग मार्ग दिखा सकता है, इसलिए रुकना आवश्यक हो सकता है।"
"In emergency, how is first train authorized to enter obstructed block? / आपात स्थिति में, अवरुद्ध ब्लॉक में पहली ट्रेन को कैसे प्रवेश की अनुमति दी जाती है?",Verbal instruction,T/369,T/A-912,All of the above,All of the above,All options can be correct depending on situation — verbal + T/369 + written authority.,परिस्थितियों पर निर्भर करते हुए उपरोक्त सभी विकल्प उपयोगी हो सकते हैं।
What does a Station Master do if Automatic Stop signal is defective? / यदि स्वचालित स्टॉप सिग्नल दोषपूर्ण हो तो स्टेशन मास्टर क्या करता है?,Ignores it,Informs control and issues T/A-912,Asks Loco Pilot to jump it,Waits for Loco Pilot to decide,Informs control and issues T/A-912,SR 9.12.01(b)(c) requires SM to inform control and issue authority form.,"SR 9.12.01(b)(c) के अनुसार, स्टेशन मास्टर को कंट्रोल को सूचना देनी चाहिए और T/A-912 देना चाहिए।"
"Match the following roles with their responsibility during failure: / सिग्नल विफलता के दौरान भूमिकाओं को उनके कार्यों से मिलाइए: Column A: A. Loco Pilot, B. Station Master, C. Guard; Column B: 1. Protect rear & record time, 2. Issue written authority & caution order, 3. Obey rules, proceed cautiously","A. A-3, B-2, C-1","A. A-2, B-1, C-3","A. A-1, B-2, C-3","A. A-3, B-1, C-2","A. A-3, B-2, C-1","LP proceeds cautiously, SM issues authority, Guard protects rear and logs.","लोको पायलट सावधानी से चलता है, स्टेशन मास्टर प्राधिकरण देता है, गार्ड पीछे सुरक्षा करता है।"
What must be confirmed before issuing Line Clear in ABS Single Line? / ABS सिंगल लाइन में लाइन क्लियर देने से पहले क्या सुनिश्चित किया जाना चाहिए?,Last train departed,Starter is OFF,Line is clear up to adequate distance,None of these,Line is clear up to adequate distance,GR 9.06(1) mandates line must be clear up to 120 meters beyond starter before Home is taken OFF.,"GR 9.06(1) के अनुसार, लाइन कम से कम 120 मीटर स्टार्टर से आगे तक साफ होनी चाहिए।"
"If Loco Pilot fails to observe tail lamp of preceding train, he must— / यदि लोको पायलट को आगे की ट्रेन की टेल लैंप न दिखे, तो उसे क्या करना चाहिए?",Stop and inform,Blow long whistle,Accelerate,None of these,Stop and inform,"If tail lamp is not seen, LP must stop and inform SM/control.",यदि टेल लैंप न दिखे तो लोको पायलट को रुककर सूचना देनी चाहिए।
Which of the following is NOT mandatory to start a train in failure section? / निम्न में से क्या ट्रेन शुरू करने के लिए अनिवार्य नहीं है (विफल खंड में)?,Signal OFF,Caution Order,Pilotman,All of the above,Signal OFF,"During failure, Signal OFF is not always possible; pilot and caution order are mandatory.",विफलता की स्थिति में सिग्नल OFF होना जरूरी नहीं होता; पायलट व चेतावनी आदेश अनिवार्य होते हैं।
What is the correct procedure if a Calling-on signal is defective? / यदि कॉलिंग-ऑन सिग्नल दोषपूर्ण हो जाए तो सही प्रक्रिया क्या है?,Pass without authority,Wait till it clears,Pass with T/A-912 authority,None of these,Pass with T/A-912 authority,"As per SR, any defective stop signal including Calling-on must be passed with proper written authority.","SR के अनुसार, कॉलिंग-ऑन सहित किसी भी दोषपूर्ण स्टॉप सिग्नल को उचित लिखित प्राधिकरण के साथ ही पार किया जा सकता है।"
"During failure, which is the safest method to confirm rear protection? / विफलता के दौरान पीछे की सुरक्षा सुनिश्चित करने का सबसे सुरक्षित तरीका क्या है?",Whistle by Guard,Showing Red hand signal,Placing detonators at defined distance,All of the above,All of the above,GR 9.10 & SR instruct the Guard to protect the rear with hand signals and detonators.,"GR 9.10 व SR के अनुसार, पीछे की सुरक्षा के लिए गार्ड को हाथ के संकेत व डेटोनेटर का उपयोग करना चाहिए।"
What must be ensured before issuing T/A-912 authority? / T/A-912 प्राधिकरण जारी करने से पहले क्या सुनिश्चित किया जाना चाहिए?,Track is safe,Route is properly set and locked,Last train has cleared section,All of the above,All of the above,T/A-912 can only be issued when all safety checks are confirmed.,T/A-912 केवल तभी जारी किया जा सकता है जब सभी सुरक्षा मानकों की पुष्टि हो।
Who signs the T/A-912 form issued to the Loco Pilot? / लोको पायलट को जारी T/A-912 फॉर्म पर हस्ताक्षर कौन करता है?,Guard,Station Master,Section Controller,Loco Pilot himself,Station Master,"As per SR 9.12.01, Station Master is the issuing and signing authority for T/A-912.","SR 9.12.01 के अनुसार, T/A-912 स्टेशन मास्टर द्वारा जारी और हस्ताक्षरित किया जाता है।"
"Match the following rule numbers with their content: / निम्नलिखित नियम संख्याओं को उनके विषयों से मिलाएं: 
Column A                                   Column B
A. GR 9.02               1. Passing defective Automatic Stop signal
B. SR 9.12.01          2. Procedure during signal failure in ABS
C. SR 9.12.07          3. Working during panel failure with comm","A-1, B-2, C-3","A-3, B-1, C-2","A-2, B-3, C-1","A-1, B-3, C-2","A-1, B-2, C-3",GR 9.02 – defective automatic; SR 9.12.01 – ABS failure; SR 9.12.07 – panel failure.,GR 9.02 – दोषपूर्ण ऑटोमैटिक; SR 9.12.01 – ABS विफलता; SR 9.12.07 – पैनल विफलता।
"What should the Loco Pilot do if station signal remains ON and no communication is possible? / यदि स्टेशन का सिग्नल ON पर रहे और संचार संभव न हो, तो लोको पायलट को क्या करना चाहिए?",Pass after 2 minutes,Return to originating station,Pass with proper whistle code and caution,None of these,Pass with proper whistle code and caution,GR 9.07(3) allows passing signal after prescribed waiting & code whistle when communication fails.,"GR 9.07(3) के अनुसार, संचार विफलता में निर्धारित प्रतीक्षा व सीटी संकेत के बाद सिग्नल पार किया जा सकता है।"
Which of the following is TRUE about Guard’s responsibility during failure? / विफलता की स्थिति में गार्ड की जिम्मेदारी के बारे में निम्न में से कौन सा कथन सत्य है?,Ensure tail lamp is glowing,Protect rear with detonators,Record next signal passing time,All of the above,All of the above,"GR 9.10, SR 9.11.04 outline that all above duties are mandatory for Guard.",GR 9.10 व SR 9.11.04 के अनुसार उपरोक्त सभी कार्य गार्ड की जिम्मेदारी हैं।
What is the minimum speed restriction when approaching an occupied block section during failure? / विफलता के दौरान किसी व्यस्त ब्लॉक खंड के पास पहुंचने पर न्यूनतम गति सीमा क्या होनी चाहिए?,25 km/h,15 km/h,10 km/h,5 km/h,10 km/h,SR 9.12.02(b)(3) says speed must not exceed 10 km/h near obstruction or curvature.,"SR 9.12.02(b)(3) के अनुसार, बाधा या मोड़ के पास गति 10 किमी/घंटा से अधिक नहीं होनी चाहिए।"
"If train passes defective signal without written authority by mistake, what should be done? / अगर ट्रेन गलती से बिना लिखित प्राधिकरण के दोषपूर्ण सिग्नल पार कर जाए, तो क्या किया जाना चाहिए?",Ignore and proceed,Stop and report to Station Master/Controller,Reverse the train,None of these,Stop and report to Station Master/Controller,LP must stop and report the incident. Continuing without authority is a safety violation.,"लोको पायलट को रुककर स्टेशन मास्टर या कंट्रोलर को रिपोर्ट करनी चाहिए, अन्यथा यह सुरक्षा उल्लंघन है।"
Which type of signal is normally not provided in Automatic Signalling territory? / स्वचालित सिग्नलिंग क्षेत्र में सामान्यतः किस प्रकार का सिग्नल नहीं लगाया जाता है?,Starter,Automatic Stop Signal,Calling-on Signal,Warner,Starter,"In ABS, Automatic Stop Signals serve the function of both Home and Starter; hence separate Starter signals are generally not provided.","ABS में ऑटोमैटिक स्टॉप सिग्नल ही होम व स्टार्टर दोनों का कार्य करते हैं, इसलिए अलग से स्टार्टर सिग्नल नहीं लगाया जाता।"
What is the required distance between two Automatic Stop Signals in Double Line territory? / डबल लाइन क्षेत्र में दो ऑटोमैटिक स्टॉप सिग्नलों के बीच न्यूनतम दूरी कितनी होनी चाहिए?,180 meters,750 meters,1200 meters,As per visibility,750 meters,"As per SRs and signal planning norms, the standard spacing in ABS (Double Line) is 750 meters.","SR और सिग्नल प्लानिंग मानकों के अनुसार, ABS डबल लाइन में सिग्नलों के बीच सामान्य दूरी 750 मीटर होती है।"
In which scenario is a Calling-on Signal used? / कॉलिंग-ऑन सिग्नल का उपयोग किस स्थिति में किया जाता है?,Shunting into occupied line,Starting a train,Entering loop from main line,During emergency only,Shunting into occupied line,A Calling-on Signal authorizes shunting or entry into an already occupied line.,कॉलिंग-ऑन सिग्नल पहले से व्यस्त लाइन में शंटिंग या प्रवेश की अनुमति देता है।
"In ABS, when is Line Clear considered cancelled? / ABS में लाइन क्लियर कब निरस्त मानी जाती है?",After T/A-912 issued,When train does not arrive within time limit,After home signal taken OFF,None of these,When train does not arrive within time limit,"If the train does not arrive within a stipulated time after giving Line Clear, it stands cancelled.","यदि लाइन क्लियर देने के बाद निर्धारित समय में ट्रेन नहीं आती, तो वह रद्द मानी जाती है।"
What must be done before piloting a train out during signal failure? / सिग्नल फेल होने पर ट्रेन को बाहर निकालने से पहले क्या किया जाना चाहिए?,Verify route is locked and clear,Issue caution order,Issue T/A-912,All of the above,All of the above,"Piloting requires T/A-912, caution order, and complete route check.","पायलटिंग के लिए T/A-912, चेतावनी आदेश और रूट की पूरी जांच अनिवार्य होती है।"
"If Guard fails to note signal passing time during failure, what should be done? / विफलता के दौरान यदि गार्ड सिग्नल पास होने का समय नोट करना भूल जाए तो क्या करना चाहिए?",Ignore,Estimate approximate time later,Inform control,None of these,Estimate approximate time later,SR allows Guard to record approximate time based on discussion with LP if exact time is missed.,यदि सटीक समय नोट न हो पाए तो SR के अनुसार अनुमानित समय दर्ज किया जा सकता है।
What form is used when Gate signal fails in ABS section? / ABS सेक्शन में गेट सिग्नल फेल होने पर कौन सा फॉर्म प्रयोग किया जाता है?,T/C-912,T/369(3b),T/A-912,None of these,T/369(3b),T/369(3b) is used for temporary caution and gate irregularities.,गेट से जुड़ी अनियमितताओं के लिए T/369(3b) प्रयोग किया जाता है।
What does a continuously flickering Automatic Signal indicate? / लगातार झिलमिलाता हुआ ऑटोमैटिक सिग्नल क्या दर्शाता है?,Proceed normally,Signal is OFF,Signal is defective,Line is clear,Signal is defective,A flickering signal must be treated as defective as per SR 9.02.02.,SR 9.02.02 के अनुसार झिलमिलाता सिग्नल दोषपूर्ण माना जाता है।
"During normal working in Automatic Block Signalling territory (when there is no signal failure or obstruction), which authority form is required to run the train? / स्वचालित ब्लॉक सिग्नलिंग क्षेत्र में सामान्य संचालन (जब कोई सिग्नल खराबी या अवरोध न हो) के दौरान ट्रेन चलाने के लिए कौन सा प्राधिकरण फॉर्म आवश्यक होता है?",T/A-912,T/1425,T/369(3b),None of these / इनमें से कोई नहीं,None of these / इनमें से कोई नहीं,"In ABS under normal conditions, trains are governed by fixed signals. No written authority form is required unless there is a failure or emergency.","स्वचालित ब्लॉक सिग्नलिंग क्षेत्र में सामान्य स्थिति में ट्रेनें केवल सिग्नल द्वारा नियंत्रित होती हैं। जब तक कोई खराबी या आपात स्थिति न हो, तब तक कोई भी लिखित प्राधिकरण फॉर्म आवश्यक नहीं होता।"
What is the primary safety function of an Automatic Stop signal in ABS? / ABS में स्वचालित स्टॉप सिग्नल का मुख्य सुरक्षा कार्य क्या है?,Allow high-speed working,Replace all manual instructions,Maintain safe distance between trains,Show route direction,Maintain safe distance between trains,Automatic Stop Signals ensure trains maintain a safe following distance by segmenting track into block sections.,ऑटोमैटिक स्टॉप सिग्नल ट्रैक को ब्लॉक सेक्शन में बाँटकर ट्रेनों के बीच सुरक्षित दूरी बनाए रखते हैं।
Under which condition is the Loco Pilot required to proceed without written authority? / किस स्थिति में लोको पायलट को बिना लिखित अनुमति के आगे बढ़ने की आवश्यकता होती है?,After passing defective Automatic Stop signal with proper wait,During pilot protection,When T/A-912 not available,None of these,After passing defective Automatic Stop signal with proper wait,GR 9.02 allows LP to pass defective automatic stop signal after waiting (1 min day / 2 min night).,"GR 9.02 के अनुसार, प्रतीक्षा पूरी करने के बाद लोको पायलट लिखित प्राधिकरण के बिना आगे बढ़ सकता है।"
What must the Guard carry while protecting the train in rear during failure? / विफलता के दौरान पीछे ट्रेन की सुरक्षा करते समय गार्ड को क्या साथ रखना चाहिए?,Red flags and detonators,Only torch,Identity card,None of these,Red flags and detonators,Rule mandates red hand signal (flag/lamp) and detonators to alert following train.,नियम अनुसार गार्ड को लाल झंडी या लाल लैंप और डेटोनेटर रखने आवश्यक होते हैं।
What is required before issuing Line Clear when signals are defective in double line ABS? / डबल लाइन ABS में सिग्नल दोषपूर्ण होने पर लाइन क्लियर जारी करने से पहले क्या आवश्यक है?,Last train has passed,Section is clear for 180 meters beyond starter,Route set and locked,All of the above,All of the above,All 3 checks are mandatory as per SR 9.12.01(d).,SR 9.12.01(d) के अनुसार उपरोक्त तीनों बातें अनिवार्य हैं।
What does an illuminated 'AG' indicator at a level crossing mean? / लेवल क्रॉसिंग पर प्रकाशित 'AG' संकेतक का क्या अर्थ है?,"Gate is failed or open, but route is locked",Train must stop,No signal given,None of these,"Gate is failed or open, but route is locked","AG means Automatic Gate failed/open, but route is locked and safe for movement.","'AG' इंगित करता है कि गेट खुला या खराब है, लेकिन रूट लॉक और सुरक्षित है।"
What is the default minimum interval between two trains in ABS failure with no communication? / संचार विफलता की स्थिति में ABS में दो ट्रेनों के बीच न्यूनतम अंतराल क्या होता है?,10 minutes,15 minutes,25 minutes,None of these,15 minutes,"As per SR 9.12.02(d), the minimum interval should be 15 minutes.",SR 9.12.02(d) के अनुसार न्यूनतम अंतराल 15 मिनट होना चाहिए।
"Match the form numbers with their correct usage: / फॉर्म नंबर को उनके उपयोग से मिलाएं: Column A: A. T/A-912, B. T/C-912, C. T/369(3b); Column B: 1. Authority to pass defective signal, 2. Authority for relief engine into ABS, 3. Temporary caution or obstruction notification","A. A-1, B-2, C-3","A. A-2, B-1, C-3","A. A-1, B-3, C-2","A. A-3, B-1, C-2","A. A-1, B-2, C-3",T/A-912 – defective signal; T/C-912 – relief train; T/369(3b) – caution/obstruction.,T/A-912 – दोषपूर्ण सिग्नल; T/C-912 – राहत ट्रेन; T/369(3b) – सावधानी सूचना।
"If a train crosses a signal at danger without authority or wait, what type of incident is it? / यदि कोई ट्रेन खतरे के सिग्नल को बिना अनुमति या प्रतीक्षा के पार कर जाए, तो यह किस प्रकार की घटना है?",Normal,Minor error,SPAD (Signal Passed At Danger),None of these,SPAD (Signal Passed At Danger),Passing a signal at danger without authority is classified as SPAD – a serious safety violation.,बिना अनुमति सिग्नल को पार करना SPAD माना जाता है – यह गंभीर सुरक्षा उल्लंघन है।
In which of the following situations is “None of these” the correct answer? / निम्न में से किस स्थिति में “इनमें से कोई नहीं” सही उत्तर है? What authority is issued to Loco Pilot for shunting in normal ABS working?,T/A-912,T/1425,T/369(3b),None of these / इनमें से कोई नहीं,None of these / इनमें से कोई नहीं,Shunting in ABS is signal governed; no written authority is required under normal working.,ABS में सामान्य स्थिति में शंटिंग केवल सिग्नल से नियंत्रित होती है; कोई लिखित फॉर्म नहीं दिया जाता।
"In Automatic Signalling, what does a signal with 'A' marker represent? / स्वचालित सिग्नलिंग में 'A' चिन्ह वाला सिग्नल किसे दर्शाता है?",Advance starter,Calling-on signal,Automatic Stop Signal,None of these,Automatic Stop Signal,"The 'A' marker indicates it is an Automatic Stop Signal, and specific GR 9.02 rules apply.","'A' चिन्ह यह दर्शाता है कि यह एक स्वचालित स्टॉप सिग्नल है, जिस पर GR 9.02 के नियम लागू होते हैं।"
What must be done if an Automatic Stop signal is ON and communication with station is possible? / यदि ऑटोमैटिक स्टॉप सिग्नल ON हो और स्टेशन से संपर्क संभव हो तो क्या करना चाहिए?,Wait 5 minutes,Pass without informing,Contact Station Master for instructions,Return to previous station,Contact Station Master for instructions,"When communication is available, instructions must be taken before passing ON signal.","यदि संपर्क संभव है, तो ON सिग्नल पार करने से पहले स्टेशन मास्टर से निर्देश लेना अनिवार्य है।"
What is the meaning of a Calling-on signal showing OFF? / यदि कॉलिंग-ऑन सिग्नल OFF स्थिति में हो तो उसका क्या अर्थ है?,Proceed on clear main line,Enter already occupied line cautiously,Shunting not allowed,None of these,Enter already occupied line cautiously,Calling-on signal OFF means proceed at restricted speed into an occupied line.,कॉलिंग-ऑन सिग्नल OFF का अर्थ है व्यस्त लाइन में सावधानीपूर्वक प्रवेश करना।
"If the Guard sees an ON signal passed by mistake, what should be his immediate action? / अगर गार्ड देखे कि ट्रेन गलती से ON सिग्नल पार कर गई है, तो उसका पहला कार्य क्या होना चाहिए?",Ignore,Protect the train from rear,Inform control and LP,Both B and C,Both B and C,Guard must protect rear and inform SM/control immediately.,गार्ड को तुरंत पीछे सुरक्षा करनी चाहिए और नियंत्रण कक्ष को सूचना देनी चाहिए।
What speed is allowed after passing defective signal with authority in clear weather? / साफ मौसम में प्राधिकरण के साथ दोषपूर्ण सिग्नल पार करने के बाद अधिकतम गति कितनी है?,15 km/h,30 km/h,25 km/h,Full permissible speed,15 km/h,SR 9.02.01(b) limits speed to 15 km/h in clear visibility after passing ON signal with caution.,SR 9.02.01(b) के अनुसार स्पष्ट दृश्यता में गति 15 किमी/घंटा से अधिक नहीं हो सकती।
"What must Loco Pilot do if signal is flickering for more than 60 seconds? / यदि सिग्नल 60 सेकंड से अधिक समय तक झिलमिलाता है, तो लोको पायलट को क्या करना चाहिए?",Proceed at full speed,Treat it as defective and follow GR 9.02,Ignore it,Wait for Guard's signal,Treat it as defective and follow GR 9.02,"As per SR 9.02.02, signal flickering over 60 sec is treated as defective.",SR 9.02.02 के अनुसार 60 सेकंड से अधिक झिलमिलाना दोषपूर्ण माना जाता है।
"In ABS territory, trains are controlled by: / ABS क्षेत्र में ट्रेनों को किसके द्वारा नियंत्रित किया जाता है?",Station Master instructions,Written orders,Fixed signals,None of these,Fixed signals,"In Automatic Block System, trains move based on fixed signal aspects.",ऑटोमैटिक ब्लॉक सिस्टम में ट्रेन संचालन फिक्स्ड सिग्नल के अनुसार होता है।
Which of the following statements is FALSE? / निम्न में से कौन सा कथन गलत है?,T/A-912 is needed during failure,LP can pass ON signal without stop,Guard must protect train in block,Calling-on signal can show OFF when line is occupied,LP can pass ON signal without stop,LP cannot pass an ON signal without waiting/stopping as per GR 9.02.,"GR 9.02 के अनुसार, बिना प्रतीक्षा किए ON सिग्नल पार करना गलत है।"
